attendance,reporting_status,artist_name,gender,generation,tour_type,members,stage_setup,company,continent,country,city,venue_name,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,South Korea,Seoul,Gocheok Sky Dome,stadium,16744.0,2,2026,8,3,Fri,Sat,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Asia,Taiwan,Taipei,Taipei Dome,stadium,59833.0,1,2026,8,3,Tue,Tue,0,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",South America,Brazil,São Paulo,Mercado Livre Arena Pacaembu,stadium,40000.0,1,2026,9,3,Fri,Fri,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",South America,Chile,Santiago,Movistar Arena,arena,15500.0,1,2026,9,3,Sun,Sun,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",South America,Peru,Lima,Costa 21,concert hall,30000.0,1,2026,9,3,Wed,Wed,0,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,Mexico,Mexico City,Palacio de los Deportes,arena,26000.0,1,2026,9,3,Fri,Fri,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,Canada,Hamilton,TD Coliseum,arena,18000.0,1,2026,9,3,Tue,Tue,0,5,growing
5494.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,New York,UBS Arena,arena,19000.0,1,2026,9,3,Fri,Fri,1,5,growing
5060.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Washington,Capital One Arena,arena,20356.0,1,2026,9,3,Tue,Tue,0,5,growing
5806.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Atlanta,State Farm Arena,arena,18000.0,1,2026,9,3,Thu,Thu,0,5,growing
6767.0,parcial,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Miami,Kaseya Center,arena,20000.0,1,2026,9,3,Sat,Sat,1,5,growing
7430.0,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Dallas,American Airlines Center,arena,21000.0,1,2026,9,3,Tue,Tue,0,5,growing
9187.0,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Inglewood,Intuit Dome,arena,18300.0,1,2026,10,4,Sat,Sat,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Oakland,Oakland Arena,arena,19596.0,1,2026,10,4,Tue,Tue,0,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,United States,Seattle,Climate Pledge Arena,arena,17200.0,1,2026,10,4,Fri,Fri,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",North America,Canada,Vancouver,Rogers Arena,arena,19000.0,1,2026,10,4,Sun,Sun,1,5,growing
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,England,Manchester,AO Arena,arena,21000.0,1,2027,1,1,Thu,Thu,0,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,England,London,The O2 Arena,arena,20000.0,1,2027,1,1,Sat,Sat,1,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Netherlands,Amsterdam,Ziggo Dome,arena,17000.0,1,2027,1,1,Tue,Tue,0,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Sweden,Stockholm,Avicii Arena,arena,16000.0,1,2027,1,1,Fri,Fri,1,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Denmark,Copenhagen,Royal Arena,arena,17000.0,1,2027,1,1,Sun,Sun,1,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Germany,Berlin,Uber Arena,arena,17000.0,1,2027,1,1,Tue,Tue,0,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Italy,Milan,Unipol Dome,arena,16000.0,1,2027,1,1,Fri,Fri,1,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,Spain,Barcelona,Palau Sant Jordi,arena,17960.0,1,2027,1,1,Sun,Sun,1,6,established
,unreported,aespa,female,4,world tour,4,end stage,"SM,KAKAO",Europe,France,Paris,Accor Arena,arena,20300.0,1,2027,2,1,Tue,Tue,0,6,established
16706.0,parcial,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,South Korea,Seoul,KSPO Dome,arena,15000.0,2,2025,1,1,Sat,Sun,1,0,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Newark,Prudential Center,arena,17000.0,1,2025,2,1,Fri,Fri,1,0,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Inglewood,Kia Forum,arena,17500.0,1,2025,3,1,Sun,Sun,1,0,rookie
24918.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Japan,Yokohama,Pia Arena MM,arena,12141.0,3,2025,3,1,Fri,Sun,1,0,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Japan,Nagoya,Portmesse Nagoya,concert hall,15000.0,2,2025,3,1,Sat,Sun,1,0,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Japan,Osaka,Asue Arena,arena,16000.0,2,2025,4,2,Thu,Fri,0,1,rookie
40936.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Japan,Yokohama,K-Arena Yokohama,arena,20000.0,3,2025,4,2,Fri,Sun,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Japan,Fukuoka,Fukuoka Kokusai Center,arena,10000.0,2,2025,4,2,Sat,Sun,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Singapore,Singapore,Singapore Indoor Stadium,arena,9000.0,1,2025,5,2,Sat,Sat,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Hong Kong,Hong Kong,AsiaWorld–Expo,arena,14000.0,2,2025,5,2,Sat,Sun,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Vietnam,Ho Chi Minh City,Saigon Exhibition and Convention Center,concert hall,2000.0,1,2025,5,2,Sat,Sat,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Thailand,Bangkok,IMPACT Arena,arena,12000.0,2,2025,6,2,Sat,Sun,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Indonesia,Tangerang,ICE BSD,concert hall,,1,2025,6,2,Sat,Sat,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Malaysia,Kuala Lumpur,Unifi Arena,arena,11000.0,1,2025,6,2,Sat,Sat,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,Asia,Taiwan,Taoyuan,NTSU Arena,arena,15000.0,2,2025,6,2,Sat,Sun,1,1,rookie
,unreported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,Canada,Toronto,Scotiabank Arena,arena,19800.0,1,2025,8,3,Sat,Sat,1,1,rookie
3636.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Rosemont,Allstate Arena,arena,22000.0,1,2025,9,3,Tue,Tue,0,1,rookie
5083.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Atlanta,State Farm Arena,arena,18000.0,1,2025,9,3,Fri,Fri,1,1,rookie
5886.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Fort Worth,Dickies Arena,arena,14000.0,1,2025,9,3,Sun,Sun,1,1,rookie
6336.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Oakland,Oakland Arena,arena,19596.0,1,2025,9,3,Wed,Wed,0,1,rookie
7085.0,reported,BABYMONSTER,female,5,world tour,7,end stage,YG,North America,United States,Seattle,Climate Pledge Arena,arena,17200.0,1,2025,9,3,Fri,Fri,1,1,rookie
21125.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,South Korea,Seoul,Seoul Olympic Stadium,stadium,65599.0,2,2018,11,4,Sat,Sun,1,2,rookie
29241.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Thailand,Bangkok,IMPACT Arena,arena,12000.0,3,2019,1,1,Fri,Sun,1,2,rookie
16260.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Indonesia,Tangerang,ICE BSD,concert hall,,2,2019,1,1,Sat,Sun,1,2,rookie
9690.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Hong Kong,Hong Kong,AsiaWorld–Expo,arena,14000.0,1,2019,1,1,Sat,Sat,1,2,rookie
