attendance,reporting_status,gender,generation,tour_type,members,stage_setup,continent,country,city,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
113740.0,reported,female,3,world tour,4,end stage,Asia,Indonesia,Jakarta,stadium,77193.0,2,2023,3,1,Sat,Sun,1,6,established
101096.0,reported,female,3,world tour,4,end stage,Asia,Taiwan,Kaohsiung,stadium,55000.0,2,2023,3,1,Sat,Sun,1,6,established
92720.0,reported,female,3,world tour,4,end stage,Asia,Philippines,Bulacan,arena,55000.0,2,2023,3,1,Sat,Sun,1,6,established
100809.0,reported,female,3,world tour,4,end stage,Asia,Japan,Tokyo,stadium,55000.0,2,2023,4,2,Sat,Sun,1,6,established
113498.0,reported,female,3,world tour,4,end stage,North America,Mexico,Mexico City,stadium,65000.0,2,2023,4,2,Wed,Thu,0,6,established
97977.0,reported,female,3,world tour,4,end stage,Asia,Singapore,Singapore,stadium,55000.0,2,2023,5,2,Sat,Sun,1,6,established
23267.0,reported,female,3,world tour,4,end stage,Asia,Macau,Macau,arena,16000.0,2,2023,5,2,Sat,Sun,1,6,established
81108.0,reported,female,3,world tour,4,end stage,Asia,Thailand,Bangkok,stadium,51560.0,2,2023,5,2,Sat,Sun,1,6,established
81996.0,reported,female,3,world tour,4,end stage,Asia,Japan,Osaka,stadium,55000.0,2,2023,6,2,Sat,Sun,1,6,established
23145.0,reported,female,3,world tour,4,end stage,Oceania,Australia,Melbourne,arena,14820.0,2,2023,6,2,Sat,Sun,1,6,established
25926.0,reported,female,3,world tour,4,end stage,Oceania,Australia,Sydney,arena,18000.0,2,2023,6,2,Fri,Sat,1,6,established
,unreported,female,3,world tour,4,end stage,Oceania,New Zealand,Auckland,,,1,2023,6,2,Wed,Wed,0,6,established
52781.0,reported,female,3,world tour,4,end stage,Europe,France,Paris,stadium,81338.0,1,2023,7,3,Sat,Sat,1,6,established
67443.0,reported,female,3,world tour,4,end stage,Asia,Vietnam,Hanoi,stadium,50000.0,2,2023,7,3,Sat,Sun,1,6,established
96570.0,reported,female,3,world tour,4,end stage,North America,United States,East Rutherford,stadium,82500.0,2,2023,8,3,Fri,Sat,1,7,established
