attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights
7177.0,parcial,Honda Center,theater,10935.0,North America,United States,Anaheim,1
,unreported,Toyota Center,arena,19000.0,North America,United States,Houston,1
7027.0,parcial,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1
5475.0,parcial,UBS Arena,arena,19000.0,North America,United States,New York,1
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,3
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,3
,unreported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1
,unreported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1
,unreported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,2
5266.0,parcial,Handball Gymnasium,arena,6500.0,Asia,South Korea,Seoul,2
,unreported,YouTube Theater,theater,6000.0,North America,United States,Inglewood,1
,unreported,Arizona Financial Theatre,theater,5000.0,North America,United States,Phoenix,1
,unreported,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1
,unreported,Smart Financial Centre,concert hall,6400.0,North America,United States,Sugar Land,1
,unreported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1
,unreported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1
,unreported,MGM Music Hall,concert hall,5007.0,North America,United States,Boston,1
,unreported,The Theater,theater,5600.0,North America,United States,New York,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,2
,unreported,The Star Performing Arts Centre,concert hall,5000.0,Asia,Singapore,Singapore,1
,unreported,Gelora Bung Karno Tennis Indoor Stadium,arena,3750.0,Asia,Indonesia,Jakarta,1
,unreported,Makuhari Messe,arena,,Asia,Japan,Chiba,2
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,1
7406.0,missing,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
5108.0,reported,Spark Arena,arena,13280.0,Oceania,New Zealand,Auckland,1
,unreported,ICC Sydney Theatre,concert hall,2500.0,Oceania,Australia,Sydney,1
,unreported,Margaret Court Arena,arena,7500.0,Oceania,Australia,Melbourne,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
5639.0,reported,Pepsi Center WTC,theater,7500.0,North America,Mexico,Mexico City,1
13101.0,reported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1
,unreported,Wembley Arena,arena,12500.0,Europe,England,London,1
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1
,unreported,Velodrom,arena,12000.0,Europe,Germany,Berlin,1
,unreported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1
,unreported,Palacio Vistalegre,arena,14000.0,Europe,Spain,Madrid,1
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,3
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,1
,unreported,WaMu Theater,concert hall,7000.0,North America,United States,Seattle,1
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
,unreported,Smart Financial Centre,concert hall,6400.0,North America,United States,Sugar Land,1
,unreported,Toyota Music Factory,theater,4000.0,North America,United States,Irving,1
4098.0,reported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1
6688.0,reported,EagleBank Arena,arena,15000.0,North America,United States,Fairfax,1
