attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend
11975.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,1,1,Thu,Thu,0
12170.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,2,1,Sat,Sat,1
10287.0,reported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Mexico,2025,2,1,Tue,Tue,0
10784.0,reported,Kia Center,arena,17030.0,North America,United States,Orlando,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,2,1,Thu,Thu,0
11384.0,reported,Spectrum Center,arena,18504.0,North America,United States,Charlotte,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,2,1,Sat,Sat,1
11504.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,2,1,Tue,Tue,0
10755.0,reported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Canada,2025,2,1,Thu,Thu,0
13077.0,reported,United Center,arena,23500.0,North America,United States,Chicago,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_United States,2025,2,1,Sat,Sat,1
9192.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_England,2025,3,1,Sun,Sun,1
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_France,2025,3,1,Tue,Tue,0
4000.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Netherlands,2025,3,1,Thu,Thu,0
3045.0,reported,Centennial Hall ,concert hall,4800.0,Europe,Germany,Frankfurt,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Germany,2025,3,1,Sun,Sun,1
8100.0,reported,Movistar Arena,arena,15000.0,Europe,Spain,Madrid,1,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Spain,2025,3,1,Wed,Wed,0
19855.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_South Korea,2025,3,1,Sat,Sun,1
29092.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,3,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_South Korea,2025,8,3,Fri,Sun,1
,unreported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan,2025,10,4,Sat,Sun,1
,unreported,Ariake Arena,arena,15000.0,Asia,Japan,Tokyo,3,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan,2025,10,4,Sat,Mon,1
,unreported,Aichi International Arena,arena,17000.0,Asia,Japan,Nagoya,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan,2025,10,4,Sat,Sun,1
,unreported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Japan,2025,11,4,Sat,Sun,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2,aespa,female,4,4,"SM,KAKAO",4,growing,aespa_Thailand,2025,11,4,Sat,Sun,1
,unreported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Japan,2025,11,4,Wed,Thu,0
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Hong Kong,2026,2,1,Sat,Sun,1
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Macau,2026,3,1,Sat,Sun,1
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Indonesia,2026,4,2,Sat,Sat,1
,unreported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Japan,2026,4,2,Sat,Sun,1
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Japan,2026,4,2,Sat,Sun,1
,unreported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_South Korea,2026,8,3,Fri,Sat,1
,unreported,Taipei Dome,stadium,59833.0,Asia,Taiwan,Taipei,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Taiwan,2026,8,3,Tue,Tue,0
,unreported,Mercado Livre Arena Pacaembu,stadium,40000.0,South America,Brazil,São Paulo,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Brazil,2026,9,3,Fri,Fri,1
,unreported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Chile,2026,9,3,Sun,Sun,1
,unreported,Costa 21,concert hall,30000.0,South America,Peru,Lima,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Peru,2026,9,3,Wed,Wed,0
,unreported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Mexico,2026,9,3,Fri,Fri,1
,unreported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Canada,2026,9,3,Tue,Tue,0
