attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket
52781.0,reported,Stade de France,stadium,81338.0,Europe,France,Paris,1,BLACKPINK,female,3,4,YG,6,established
67443.0,reported,Mỹ Đình National Stadium,stadium,50000.0,Asia,Vietnam,Hanoi,2,BLACKPINK,female,3,4,YG,6,established
96570.0,reported,MetLife Stadium,stadium,82500.0,North America,United States,East Rutherford,2,BLACKPINK,female,3,4,YG,7,established
44171.0,reported,Allegiant Stadium,stadium,65000.0,North America,United States,Las Vegas,1,BLACKPINK,female,3,4,YG,7,established
38390.0,reported,Oracle Park,stadium,45000.0,North America,United States,San Francisco,1,BLACKPINK,female,3,4,YG,7,established
48824.0,reported,Dodger Stadium,stadium,56000.0,North America,United States,Los Angeles,1,BLACKPINK,female,3,4,YG,7,established
35391.0,reported,Gocheok Sky Dome,stadium,16744.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,7,established
75340.0,parcial,Goyang Stadium,stadium,41311.0,Asia,South Korea,Goyang,2,BLACKPINK,female,3,4,YG,8,established
89981.0,parcial,SoFi Stadium,stadium,70240.0,North America,United States,Inglewood,2,BLACKPINK,female,3,4,YG,8,established
48915.0,parcial,Soldier Field,stadium,62500.0,North America,United States,Chicago,1,BLACKPINK,female,3,4,YG,8,established
,unreported,Rogers Stadium,stadium,50000.0,North America,Canada,Toronto,2,BLACKPINK,female,3,4,YG,8,established
73608.0,parcial,Citi Field,stadium,41922.0,North America,United States,New York,2,BLACKPINK,female,3,4,YG,8,established
,unreported,Stade de France,stadium,81338.0,Europe,France,Paris,2,BLACKPINK,female,3,4,YG,8,established
,unreported,Ippodromo La Maura,stadium,80000.0,Europe,Italy,Milan,1,BLACKPINK,female,3,4,YG,8,established
,unreported,Estadi Olímpic Lluís Companys,stadium,55926.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,9,established
,unreported,Wembley Stadium,stadium,90000.0,Europe,England,London,2,BLACKPINK,female,3,4,YG,9,established
,unreported,National Stadium,stadium,55000.0,Asia,Taiwan,Kaohsiung,2,BLACKPINK,female,3,4,YG,9,established
,unreported,Rajamangala Stadium,stadium,51560.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,9,established
,unreported,Gelora Bung Karno Main Stadium,stadium,77193.0,Asia,Indonesia,Jakarta,2,BLACKPINK,female,3,4,YG,9,established
,unreported,Philippine Arena,arena,55000.0,Asia,Philippines,Bulacan,2,BLACKPINK,female,3,4,YG,9,established
,unreported,Singapore National Stadium,stadium,55000.0,Asia,Singapore,Singapore,3,BLACKPINK,female,3,4,YG,9,established
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,3,BLACKPINK,female,3,4,YG,9,established
,unreported,Kai Tak Stadium,stadium,45995.0,Asia,Hong Kong,Hong Kong,3,BLACKPINK,female,3,4,YG,9,established
9869.0,missing,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2,i-dle,female,4,5,Cube,5,growing
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,2,i-dle,female,4,5,Cube,5,growing
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,1,i-dle,female,4,5,Cube,5,growing
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,i-dle,female,4,5,Cube,5,growing
5244.0,reported,Bill Graham Civic Auditorium,arena,8500.0,North America,United States,San Francisco,1,i-dle,female,4,5,Cube,5,growing
6360.0,reported,Peacock Theater,arena,7100.0,North America,United States,Los Angeles,1,i-dle,female,4,5,Cube,5,growing
,unreported,Texas Trust CU Theatre,concert hall,6350.0,North America,United States,Grand Prairie,1,i-dle,female,4,5,Cube,5,growing
5175.0,reported,The Theater,theater,5600.0,North America,United States,New York,1,i-dle,female,4,5,Cube,5,growing
2732.0,unreported,Fox Theatre,theater,4665.0,North America,United States,Atlanta,1,i-dle,female,4,5,Cube,5,growing
4292.0,reported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1,i-dle,female,4,5,Cube,5,growing
9438.0,unreported,Wembley Arena,arena,12500.0,Europe,England,London,1,i-dle,female,4,5,Cube,5,growing
,unreported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,i-dle,female,4,5,Cube,5,growing
,unreported,Zénith,arena,9000.0,Europe,France,Paris,1,i-dle,female,4,5,Cube,5,growing
8232.0,reported,Forest National,arena,8400.0,Europe,Belgium,Brussels,1,i-dle,female,4,5,Cube,5,growing
,unreported,Uber Eats Music Hall,concert hall,4500.0,Europe,Germany,Berlin,2,i-dle,female,4,5,Cube,5,growing
,unreported,Tachikawa Stage Garden,concert hall,2448.0,Asia,Japan,Tokyo,2,i-dle,female,4,5,Cube,5,growing
,unreported,Galaxy Arena,arena,16000.0,Asia,Macau,Macau,2,i-dle,female,4,5,Cube,5,growing
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,i-dle,female,4,5,Cube,5,growing
15425.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,i-dle,female,4,5,Cube,6,established
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,3,i-dle,female,4,5,Cube,6,established
5322.0,parcial,Tacoma Dome,arena,21000.0,North America,United States,Tacoma,1,i-dle,female,4,5,Cube,6,established
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,i-dle,female,4,5,Cube,6,established
7177.0,parcial,Honda Center,theater,10935.0,North America,United States,Anaheim,1,i-dle,female,4,5,Cube,6,established
,unreported,Toyota Center,arena,19000.0,North America,United States,Houston,1,i-dle,female,4,5,Cube,6,established
7027.0,parcial,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,i-dle,female,4,5,Cube,6,established
5475.0,parcial,UBS Arena,arena,19000.0,North America,United States,New York,1,i-dle,female,4,5,Cube,6,established
